name,alpha_acid,beta_acid,type,substitutes
Adeena,4.3,3.5,aroma,"Hallertau Mittelfruh, Styrian Golding"
Admiral,14.6,5.5,bittering,"Target, Northdown, Challenger"
African Queen,13.5,5.1,aroma/bittering,"Amarillo, Cascade, Simcoe, Citra, Mosaic"
Agnus,11.5,5.3,bittering,"Magnum (US), Nugget, Target, Columbus"
Ahtanum,5,5.3,aroma,"Amarillo, Cascade, Centennial, Willamette"
Akoya,9.5,4.5,aroma,"Perle (US), Perle (GR), Aurora, Hallertau Tradition, Northern Brewer (US), Northern Brewer"
Altus,16.8,4.6,aroma,Apollo
Amarillo,9,6.8,aroma,"Cascade, Centennial, Chinook, Summer, Simcoe"
Amethyst,4.8,7.5,aroma,
Apollo,17.8,6.8,bittering,"Magnum (US), Magnum (GR), Columbus, Tomahawk, Zeus, CTZ, Nugget"
Apolon,11,4,aroma/bittering,
Aquila,7.7,4,aroma,"Cluster, Galena"
Aramis,8.1,4.2,aroma,"Willamette, Challenger, Ahtanum, Centennial, Strisselspalt"
Archer,5,2.5,aroma,
Ariana,11,5.3,aroma,"Huell Melon, Mandarina Bavaria, Hallertau Blanc"
Astra,8.5,5,aroma/bittering,
Atlas,8,4,aroma/bittering,
Aurora,10,3.9,aroma/bittering,"Styrian Golding, Perle, Northern Brewer (US), Northern Brewer (GR)"
Aurum,4.6,3.1,aroma,
Azacca,15,4.8,aroma/bittering,"Amarillo, Citra, Delta, Pekko"
Banner,10.8,6.7,bittering,"Aquila, Cluster, Galena"
Barbe Rouge,6.9,4,aroma,
Beata,6,10,bittering,
Belma,10.3,6,aroma/bittering,"Huell Melon, Pacific Gem"
Bianca,7.5,3.4,aroma,Sunbeam
Bitter Gold,15.4,6.3,aroma/bittering,"Galena, Nugget"
Boadicea,8.8,3.9,aroma/bittering,"Green Bullet, Cascade, Chinook"
Bobek,6.4,5.3,bittering,"Fuggle, Styrian Golding, Willamette"
Bohemie,6.5,7.5,aroma,
Boomerang,12,7.5,aroma/bittering,
Bor,7.5,4.3,aroma/bittering,
Bouclier,8.2,2.9,aroma,
Bramling Cross,6.5,2.8,aroma/bittering,"East Kent Goldings, Bullion, Northern Brewer (US), Northern Brewer (GR), Galena"
Bravo,15.5,4.3,bittering,"Columbus, Tomahawk, Zeus, CTZ, Zeus, Chinook, Centennial, Nugget"
Brewer's Gold (GR),6.2,3.3,bittering,"Chinook, Galena, Nugget, Brewer's Gold (US)"
Brewer's Gold (US),9.5,5.3,bittering,"Galena, Brewer's Gold, Chinook, Galena, Nugget"
Brooklyn,18.5,9,aroma/bittering,Moutere
BRU-1,14,9,aroma,
BRU-1,14,9,aroma,
Bullion,8.9,5.5,aroma/bittering,"Brewers Gold, Northern Brewer (US), Northern Brewer (GR), Galena, Bramling Cross, Mount Ranier"
Buzz Bullets,9,5.5,aroma/bittering,
Caliente,15,4.3,aroma/bittering,
Callista,3.5,7.5,aroma,"Hallertau Tradition, Grungeist"
Calypso,14,5.5,aroma/bittering,"Galena, Cascade, Huell Melon, Belma"
Cardinal,11.5,3.9,aroma,
Cascade,7,6.2,aroma/bittering,"Amarillo, Centennial, Ahtanum, Summit"
Cashmere,8.4,5.2,aroma/bittering,Cascade
Cekin,7,2.5,aroma,"Styrian Golding, Brewers Gold, Aurora"
Celeia,4.5,3,aroma,"Styrian Golding, Bobek, Saaz (CZ)"
Centennial,9.5,4.5,aroma/bittering,"Cascade, Chinook, Columbus, Tomahawk, Zeus, CTZ, Amarillo"
Challenger,7.8,3.8,aroma/bittering,"Northern Brewer (US), Northern Brewer (GR), Perle (US), Target, Northdown"
Chelan,13.5,9.3,bittering,"Galena, Nugget"
Chinook,13.3,3.5,aroma/bittering,"Nugget, Columbus, Tomahawk, Zeus, CTZ, Northern Brewer (US), Galena"
Citra,12.5,3.8,aroma/bittering,"Simcoe, Mosaic, Centennial, Cascade"
Cluster,7.3,5.3,aroma/bittering,"Galena, Chinook, Eroica, Nugget"
Columbia,7,3.5,aroma/bittering,"Centennial, Chinook"
Columbus,16,5.3,aroma/bittering,"CTZ, Tomahawk, Zeus, Centennial, Chinook, Galena, Nugget, Millennium"
Comet,10.2,4.5,aroma/bittering,Galena
Contessa,4,6.2,bittering,
Crystal,4.4,6.5,aroma,"Mount Hood, Hersbrucker, Strisselspalt, Liberty, Ultra, Hallertau"
CTZ,15.8,5,aroma/bittering,"Columbus, Tomahawk, Zeus"
Dana,10.1,4.4,aroma/bittering,"Fuggle, Willamette"
Defender,4.7,1.8,aroma,
Delta,6.3,6.3,aroma,"Fuggle, Willamette, Cascade"
Sultana (Denali),14.5,5.3,aroma/bittering,"Columbus, Tomahawk, Zeus, CTZ, Nugget"
